;id;opath;cpath;mgeom;lon;lat;flow
0;4134021;2223;2223;LINESTRING(11.5690329465 48.1218430477,11.5690329465 48.1218430477);11.5690329465;48.1218430477;2
1;4134022;2223;2223;LINESTRING(11.5690148865 48.1218522294,11.5690148865 48.1218522294);11.5690148865;48.1218522294;10
2;4134023;2223;2223;LINESTRING(11.5689838674 48.1218679995,11.5689838674 48.1218679995);11.5689838674;48.1218679995;9
3;4000011;3319;3319;LINESTRING(11.6218935442 48.1606182382,11.6218935442 48.1606182382);11.6218935442;48.1606182382;26
4;4000012;3319;3319;LINESTRING(11.6218839722 48.1606086858,11.6218839722 48.1606086858);11.6218839722;48.1606086858;9
5;4055011;22779;22779;LINESTRING(11.7057667951 48.1384549528,11.7057667951 48.1384549528);11.7057667951;48.1384549528;3
6;4055012;22779;22779;LINESTRING(11.7057435755 48.1384598383,11.7057435755 48.1384598383);11.7057435755;48.1384598383;1
7;10493006;434;434;LINESTRING(11.4944287729 48.1657568353,11.4944287729 48.1657568353);11.4944287729;48.1657568353;17
8;14043057;25149;25149;LINESTRING(11.6232793095 48.2229324587,11.6232793095 48.2229324587);11.6232793095;48.2229324587;2
9;4151012;3170;3170;LINESTRING(11.4841200134 48.1639479881,11.4841200134 48.1639479881);11.4841200134;48.1639479881;8
10;14043023;18610;18610;LINESTRING(11.6250225479 48.2147247848,11.6250225479 48.2147247848);11.6250225479;48.2147247848;1
11;14043060;29442;29442;LINESTRING(11.6230037847 48.2226445703,11.6230037847 48.2226445703);11.6230037847;48.2226445703;1
12;14043028;29438;29438;LINESTRING(11.6246598444 48.2147776088,11.6246598444 48.2147776088);11.6246598444;48.2147776088;2
13;4001012;34519;34519;LINESTRING(11.5948819914 48.1876689904,11.5948819914 48.1876689904);11.5948819914;48.1876689904;63
14;4135011;2783;2783;LINESTRING(11.6213440985 48.186238606,11.6213440985 48.186238606);11.6213440985;48.186238606;54
15;10997007;9982;9982;LINESTRING(11.4575430302 48.2063360686,11.4575430302 48.2063360686);11.4575430302;48.2063360686;2
16;4135021;2783;2783;LINESTRING(11.6214485551 48.1862028118,11.6214485551 48.1862028118);11.6214485551;48.1862028118;21
17;4137022;7426;7426;LINESTRING(11.5275581186 48.1730017676,11.5275581186 48.1730017676);11.5275581186;48.1730017676;18
18;14043062;29442;29442;LINESTRING(11.6230314114 48.2226340559,11.6230314114 48.2226340559);11.6230314114;48.2226340559;1
19;4151021;3170;3170;LINESTRING(11.4841360707 48.1639467911,11.4841360707 48.1639467911);11.4841360707;48.1639467911;24
20;4001013;34891;34891;LINESTRING(11.5948994597 48.1877638781,11.5948994597 48.1877638781);11.5948994597;48.1877638781;31
21;4001014;34891;34891;LINESTRING(11.5949051634 48.1877632618,11.5949051634 48.1877632618);11.5949051634;48.1877632618;28
22;11319001;3162;3162;LINESTRING(11.6086001676 48.194538811,11.6086001676 48.194538811);11.6086001676;48.194538811;2
23;14043030;18610;18610;LINESTRING(11.6256079017 48.2157933285,11.6256079017 48.2157933285);11.6256079017;48.2157933285;1
24;4151022;3170;3170;LINESTRING(11.484116337 48.1639482621,11.484116337 48.1639482621);11.484116337;48.1639482621;18
25;10493007;9540;9540;LINESTRING(11.4927072638 48.1655192211,11.4927072638 48.1655192211);11.4927072638;48.1655192211;2
26;4093011;1765;1765;LINESTRING(11.6858707571 48.1378086475,11.6858707571 48.1378086475);11.6858707571;48.1378086475;13
27;4132021;3257;3257;LINESTRING(11.5433567726 48.1766491733,11.5433567726 48.1766491733);11.5433567726;48.1766491733;3
28;10997009;9980;9980;LINESTRING(11.4581899183 48.206520518,11.4581899183 48.206520518);11.4581899183;48.206520518;7
29;4063012;29189;29189;LINESTRING(11.692510679 48.1334489229,11.692510679 48.1334489229);11.692510679;48.1334489229;27
30;14043035;29438;29438;LINESTRING(11.625263763 48.215862937,11.625263763 48.215862937);11.625263763;48.215862937;2
31;4077011;22789;22789;LINESTRING(11.6916237281 48.139920338,11.6916237281 48.139920338);11.6916237281;48.139920338;2
32;4003011;35775;35775;LINESTRING(11.6061630899 48.156416595,11.6061630899 48.156416595);11.6061630899;48.156416595;97
33;11113003;2422;2422;LINESTRING(11.5476253897 48.1354194712,11.5476253897 48.1354194712);11.5476253897;48.1354194712;3
34;11319003;18547;18547;LINESTRING(11.6086243079 48.1950221674,11.6086243079 48.1950221674);11.6086243079;48.1950221674;3
35;4003012;35775;35775;LINESTRING(11.606165455 48.156415655,11.606165455 48.156415655);11.606165455;48.156415655;49
36;10493008;9540;9540;LINESTRING(11.4927104881 48.1655048918,11.4927104881 48.1655048918);11.4927104881;48.1655048918;4
37;4059011;3834;3834;LINESTRING(11.7124073808 48.1397585231,11.7124073808 48.1397585231);11.7124073808;48.1397585231;3
38;4132022;3258;3258;LINESTRING(11.5432796989 48.1765353814,11.5432796989 48.1765353814);11.5432796989;48.1765353814;21
39;10079007;8768;8768;LINESTRING(11.6000057124 48.140581116,11.6000057124 48.140581116);11.6000057124;48.140581116;2
40;10128006;4460;4460;LINESTRING(11.5893761344 48.1250196344,11.5893761344 48.1250196344);11.5893761344;48.1250196344;3
41;4012015;359;359;LINESTRING(11.5243980661 48.1280074672,11.5243980661 48.1280074672);11.5243980661;48.1280074672;165
42;4132023;3258;3258;LINESTRING(11.5432848637 48.1765349674,11.5432848637 48.1765349674);11.5432848637;48.1765349674;12
43;4059012;3834;3834;LINESTRING(11.7124073808 48.1397585231,11.7124073808 48.1397585231);11.7124073808;48.1397585231;6
44;10493009;9541;9541;LINESTRING(11.4925525329 48.165937843,11.4925525329 48.165937843);11.4925525329;48.165937843;4
45;4077012;22789;22789;LINESTRING(11.6916124268 48.1399161864,11.6916124268 48.1399161864);11.6916124268;48.1399161864;4
46;4136011;3123;3123;LINESTRING(11.553890833 48.100301224,11.553890833 48.100301224);11.553890833;48.100301224;7
47;11319006;10341;10341;LINESTRING(11.608937047 48.1951895672,11.608937047 48.1951895672);11.608937047;48.1951895672;1
48;11113006;2484;2484;LINESTRING(11.5474642531 48.1356491668,11.5474642531 48.1356491668);11.5474642531;48.1356491668;3
49;4136021;3123;3123;LINESTRING(11.5539047957 48.1002983782,11.5539047957 48.1002983782);11.5539047957;48.1002983782;5
50;4110022;9185;9185;LINESTRING(11.4806606685 48.1451446299,11.4806606685 48.1451446299);11.4806606685;48.1451446299;45
51;4171021;11081;11081;LINESTRING(11.5989790633 48.1489825334,11.5989790633 48.1489825334);11.5989790633;48.1489825334;16
52;10079008;8768;8768;LINESTRING(11.5998598853 48.1403195424,11.5998598853 48.1403195424);11.5998598853;48.1403195424;15
53;10674006;19353;19353;LINESTRING(11.5574240439 48.1172676367,11.5574240439 48.1172676367);11.5574240439;48.1172676367;15
54;4132024;1376;1376;LINESTRING(11.5433580328 48.1763071061,11.5433580328 48.1763071061);11.5433580328;48.1763071061;28
55;10460002;18535;18535;LINESTRING(11.5257900838 48.0773480456,11.5257900838 48.0773480456);11.5257900838;48.0773480456;1
56;14043037;18610;18610;LINESTRING(11.6263327157 48.2170463246,11.6263327157 48.2170463246);11.6263327157;48.2170463246;1
57;4020013;7250;7250;LINESTRING(11.6169056393 48.1552993271,11.6169056393 48.1552993271);11.6169056393;48.1552993271;21
58;4059013;3834;3834;LINESTRING(11.7124073808 48.1397585231,11.7124073808 48.1397585231);11.7124073808;48.1397585231;5
59;10070001;2212;2212;LINESTRING(11.5788670976 48.1291237442,11.5788670976 48.1291237442);11.5788670976;48.1291237442;19
60;4137011;26869;26869;LINESTRING(11.5274314338 48.172876939,11.5274314338 48.172876939);11.5274314338;48.172876939;1
61;4012016;1326;1326;LINESTRING(11.5244800187 48.1278990424,11.5244800187 48.1278990424);11.5244800187;48.1278990424;38
62;11319007;18545;18545;LINESTRING(11.6090903957 48.1949164622,11.6090903957 48.1949164622);11.6090903957;48.1949164622;1
63;10253002;10997;10997;LINESTRING(11.6175493785 48.1148570238,11.6175493785 48.1148570238);11.6175493785;48.1148570238;44
64;4081011;1580;1580;LINESTRING(11.6947122112 48.1405467577,11.6947122112 48.1405467577);11.6947122112;48.1405467577;3
65;4137012;26869;26869;LINESTRING(11.5274401144 48.1728724972,11.5274401144 48.1728724972);11.5274401144;48.1728724972;7
66;4046011;2067;2067;LINESTRING(11.6772370483 48.1400370932,11.6772370483 48.1400370932);11.6772370483;48.1400370932;9
67;10199033;2293;2293;LINESTRING(11.6022755718 48.1153872647,11.6022755718 48.1153872647);11.6022755718;48.1153872647;10
68;10128028;13241;13241;LINESTRING(11.5876590401 48.1240019732,11.5876590401 48.1240019732);11.5876590401;48.1240019732;1
69;4132025;1376;1376;LINESTRING(11.5433586267 48.1763070995,11.5433586267 48.1763070995);11.5433586267;48.1763070995;6
70;4137021;7426;7426;LINESTRING(11.5275890346 48.172986135,11.5275890346 48.172986135);11.5275890346;48.172986135;9
71;4139022;7346;7346;LINESTRING(11.5397044968 48.1149862434,11.5397044968 48.1149862434);11.5397044968;48.1149862434;4
72;10285020;7236;7236;LINESTRING(11.6151108884 48.1528665489,11.6151108884 48.1528665489);11.6151108884;48.1528665489;38
73;10674007;19353;19353;LINESTRING(11.557432126 48.1172789777,11.557432126 48.1172789777);11.557432126;48.1172789777;17
74;10199007;30472;30472;LINESTRING(11.6027238858 48.1160648477,11.6027238858 48.1160648477);11.6027238858;48.1160648477;16
75;14043040;29438;29438;LINESTRING(11.6259807113 48.2171541102,11.6259807113 48.2171541102);11.6259807113;48.2171541102;2
76;10280001;14935;14935;LINESTRING(11.6132103145 48.1243571198,11.6132103145 48.1243571198);11.6132103145;48.1243571198;5
77;10285003;7236;7236;LINESTRING(11.6156951327 48.153621253,11.6156951327 48.153621253);11.6156951327;48.153621253;16
78;10560005;29178;29178;LINESTRING(11.6294600612 48.1539862321,11.6294600612 48.1539862321);11.6294600612;48.1539862321;1
79;11113007;7318;7318;LINESTRING(11.5481963038 48.135877762,11.5481963038 48.135877762);11.5481963038;48.135877762;5
80;4004011;6265;6265;LINESTRING(11.59633366 48.1635112418,11.59633366 48.1635112418);11.59633366;48.1635112418;51
81;4066011;4895;4895;LINESTRING(11.7026614258 48.1335298154,11.7026614258 48.1335298154);11.7026614258;48.1335298154;8
82;11039003;9981;9981;LINESTRING(11.4573103966 48.2042485416,11.4573103966 48.2042485416);11.4573103966;48.2042485416;18
83;4081012;1580;1580;LINESTRING(11.6947122112 48.1405467577,11.6947122112 48.1405467577);11.6947122112;48.1405467577;1
84;10495001;2239;2239;LINESTRING(11.5701444128 48.1201937426,11.5701444128 48.1201937426);11.5701444128;48.1201937426;6
85;4157011;30620;30620;LINESTRING(11.5714791637 48.110698079,11.5714791637 48.110698079);11.5714791637;48.110698079;8
86;4004012;6265;6265;LINESTRING(11.5963266607 48.163524429,11.5963266607 48.163524429);11.5963266607;48.163524429;17
87;11273001;26591;26591;LINESTRING(11.5563033615 48.1613586285,11.5563033615 48.1613586285);11.5563033615;48.1613586285;1
88;10275004;34853;34853;LINESTRING(11.5525504706 48.1613429674,11.5525504706 48.1613429674);11.5525504706;48.1613429674;6
89;4144022;31711;31711;LINESTRING(11.5560669679 48.140743012,11.5560669679 48.140743012);11.5560669679;48.140743012;13
90;11178001;5378;5378;LINESTRING(11.5972751878 48.1357405616,11.5972751878 48.1357405616);11.5972751878;48.1357405616;9
91;4020014;7250;7250;LINESTRING(11.6168902735 48.1552829289,11.6168902735 48.1552829289);11.6168902735;48.1552829289;16
92;10039001;27949;27949;LINESTRING(11.5799702643 48.1154486026,11.5799702643 48.1154486026);11.5799702643;48.1154486026;5
93;10070002;2212;2212;LINESTRING(11.5787452516 48.1290692631,11.5787452516 48.1290692631);11.5787452516;48.1290692631;16
94;4097011;1337;1337;LINESTRING(11.5481088282 48.1121738034,11.5481088282 48.1121738034);11.5481088282;48.1121738034;15
95;10253003;10997;10997;LINESTRING(11.6175431803 48.1148464626,11.6175431803 48.1148464626);11.6175431803;48.1148464626;37
96;4160011;2982;2982;LINESTRING(11.6151265327 48.1410327189,11.6151265327 48.1410327189);11.6151265327;48.1410327189;8
97;4005011;7142;7142;LINESTRING(11.5928613469 48.1754924001,11.5928613469 48.1754924001);11.5928613469;48.1754924001;30
98;10113005;30268;30268;LINESTRING(11.5971553859 48.1497705203,11.5971553859 48.1497705203);11.5971553859;48.1497705203;4
99;10495002;2224;2224;LINESTRING(11.5703194971 48.120683659,11.5703194971 48.120683659);11.5703194971;48.120683659;3
100;10128029;4460;4460;LINESTRING(11.5890807498 48.1248886416,11.5890807498 48.1248886416);11.5890807498;48.1248886416;2
101;4060011;1173;1173;LINESTRING(11.6901957965 48.135976343,11.6901957965 48.135976343);11.6901957965;48.135976343;15
102;4133011;36099;36099;LINESTRING(11.5957525857 48.141031702,11.5957525857 48.141031702);11.5957525857;48.141031702;29
103;10285004;7236;7236;LINESTRING(11.6156893997 48.1536123769,11.6156893997 48.1536123769);11.6156893997;48.1536123769;12
104;10285021;14259;14259;LINESTRING(11.6154973597 48.153867332,11.6154973597 48.153867332);11.6154973597;48.153867332;11
105;4119011;10654;10654;LINESTRING(11.5840756718 48.1564332126,11.5840756718 48.1564332126);11.5840756718;48.1564332126;33
106;4102013;7261;7261;LINESTRING(11.6154326861 48.1428745927,11.6154326861 48.1428745927);11.6154326861;48.1428745927;35
107;4172011;7792;7792;LINESTRING(11.5191598849 48.1425773928,11.5191598849 48.1425773928);11.5191598849;48.1425773928;27
108;11017003;13952;13952;LINESTRING(11.6270360407 48.1414110351,11.6270360407 48.1414110351);11.6270360407;48.1414110351;6
109;4066012;4895;4895;LINESTRING(11.7026926165 48.1335300684,11.7026926165 48.1335300684);11.7026926165;48.1335300684;14
110;11178002;5378;5378;LINESTRING(11.5972178635 48.1357512358,11.5972178635 48.1357512358);11.5972178635;48.1357512358;18
111;10075002;34161;34161;LINESTRING(11.5625936374 48.1439532856,11.5625936374 48.1439532856);11.5625936374;48.1439532856;1
112;10199008;30472;30472;LINESTRING(11.6025563386 48.1160035109,11.6025563386 48.1160035109);11.6025563386;48.1160035109;9
113;4106011;25344;25344;LINESTRING(11.6181150229 48.1372297991,11.6181150229 48.1372297991);11.6181150229;48.1372297991;27
114;10518010;13208;13208;LINESTRING(11.5820518681 48.1175300461,11.5820518681 48.1175300461);11.5820518681;48.1175300461;17
115;4111011;30329;30329;LINESTRING(11.5493765913 48.190766953,11.5493765913 48.190766953);11.5493765913;48.190766953;25
116;10011002;10654;10654;LINESTRING(11.5842633597 48.15683228,11.5842633597 48.15683228);11.5842633597;48.15683228;43
117;4005012;7142;7142;LINESTRING(11.5928654447 48.1754905848,11.5928654447 48.1754905848);11.5928654447;48.1754905848;42
118;10933003;19514;19514;LINESTRING(11.4868908635 48.1796529036,11.4868908635 48.1796529036);11.4868908635;48.1796529036;7
119;11273002;26591;26591;LINESTRING(11.5563031049 48.161358631,11.5563031049 48.161358631);11.5563031049;48.161358631;12
120;11113008;7318;7318;LINESTRING(11.5481639451 48.1358605532,11.5481639451 48.1358605532);11.5481639451;48.1358605532;8
121;4100011;1722;1722;LINESTRING(11.6153755792 48.1295953193,11.6153755792 48.1295953193);11.6153755792;48.1295953193;64
122;4022011;1195;1195;LINESTRING(11.6572707296 48.1294526244,11.6572707296 48.1294526244);11.6572707296;48.1294526244;12
123;4013011;30365;30365;LINESTRING(11.5365797569 48.1491705878,11.5365797569 48.1491705878);11.5365797569;48.1491705878;18
124;10534004;26734;26734;LINESTRING(11.5206019325 48.090521156,11.5206019325 48.090521156);11.5206019325;48.090521156;2
125;4014011;7003;7003;LINESTRING(11.537570273 48.1596928514,11.537570273 48.1596928514);11.537570273;48.1596928514;17
126;10039002;34497;34497;LINESTRING(11.5804208337 48.1161315158,11.5804208337 48.1161315158);11.5804208337;48.1161315158;16
127;4005013;34651;34651;LINESTRING(11.5929111996 48.1755851648,11.5929111996 48.1755851648);11.5929111996;48.1755851648;2
128;10285006;3320;3320;LINESTRING(11.6160705847 48.1545442485,11.6160705847 48.1545442485);11.6160705847;48.1545442485;7
129;4138011;30541;30541;LINESTRING(11.5011323625 48.1032445155,11.5011323625 48.1032445155);11.5011323625;48.1032445155;3
130;10280002;14935;14935;LINESTRING(11.6131956788 48.1242303531,11.6131956788 48.1242303531);11.6131956788;48.1242303531;19
131;10204001;5685;5685;LINESTRING(11.5746596133 48.1332278271,11.5746596133 48.1332278271);11.5746596133;48.1332278271;1
132;4007014;28675;28675;LINESTRING(11.5608016164 48.1867876722,11.5608016164 48.1867876722);11.5608016164;48.1867876722;71
133;10495003;2234;2234;LINESTRING(11.5709518532 48.1208362095,11.5709518532 48.1208362095);11.5709518532;48.1208362095;7
134;10460003;1619;1619;LINESTRING(11.5258547405 48.0779003947,11.5258547405 48.0779003947);11.5258547405;48.0779003947;6
135;11056002;7081;7081;LINESTRING(11.5644750884 48.1640922853,11.5644750884 48.1640922853);11.5644750884;48.1640922853;20
136;4130011;5148;5148;LINESTRING(11.6725500285 48.0867227073,11.6725500285 48.0867227073);11.6725500285;48.0867227073;27
137;10417002;20825;20825;LINESTRING(11.4954548403 48.1122577046,11.4954548403 48.1122577046);11.4954548403;48.1122577046;22
138;10416005;7100;7100;LINESTRING(11.5739810778 48.1781255947,11.5739810778 48.1781255947);11.5739810778;48.1781255947;3
139;14043047;29436;29436;LINESTRING(11.6271859701 48.2203830835,11.6271859701 48.2203830835);11.6271859701;48.2203830835;1
140;4119012;10654;10654;LINESTRING(11.5840700585 48.1564212776,11.5840700585 48.1564212776);11.5840700585;48.1564212776;54
141;4152011;30698;30698;LINESTRING(11.4701352714 48.1774303777,11.4701352714 48.1774303777);11.4701352714;48.1774303777;16
142;10285022;14259;14259;LINESTRING(11.6155041784 48.1538757904,11.6155041784 48.1538757904);11.6155041784;48.1538757904;23
143;11320001;19645;19645;LINESTRING(11.4669604731 48.1901461415,11.4669604731 48.1901461415);11.4669604731;48.1901461415;2
144;10129001;9499;9499;LINESTRING(11.5382522768 48.1005945887,11.5382522768 48.1005945887);11.5382522768;48.1005945887;1
145;4070011;1796;1796;LINESTRING(11.7141230788 48.1344851247,11.7141230788 48.1344851247);11.7141230788;48.1344851247;11
146;11140002;9125;9125;LINESTRING(11.561002236 48.1533415155,11.561002236 48.1533415155);11.561002236;48.1533415155;12
147;11273003;26591;26591;LINESTRING(11.5566640096 48.1613537927,11.5566640096 48.1613537927);11.5566640096;48.1613537927;3
148;4148011;7262;7262;LINESTRING(11.6152453645 48.1356518285,11.6152453645 48.1356518285);11.6152453645;48.1356518285;43
149;4060012;1173;1173;LINESTRING(11.6901957965 48.135976343,11.6901957965 48.135976343);11.6901957965;48.135976343;13
150;4160021;7261;7261;LINESTRING(11.6151527618 48.1410342004,11.6151527618 48.1410342004);11.6151527618;48.1410342004;10
151;4111012;30329;30329;LINESTRING(11.5493662069 48.1907831283,11.5493662069 48.1907831283);11.5493662069;48.1907831283;2
152;4047011;13684;13684;LINESTRING(11.6901212376 48.1391484039,11.6901212376 48.1391484039);11.6901212376;48.1391484039;6
153;10199009;2293;2293;LINESTRING(11.6022974991 48.1152957484,11.6022974991 48.1152957484);11.6022974991;48.1152957484;4
154;4167011;692;692;LINESTRING(11.5349133214 48.1452645474,11.5349133214 48.1452645474);11.5349133214;48.1452645474;16
155;10236001;445;445;LINESTRING(11.5336943599 48.1350109978,11.5336943599 48.1350109978);11.5336943599;48.1350109978;5
156;10560006;29178;29178;LINESTRING(11.6294769319 48.1540776054,11.6294769319 48.1540776054);11.6294769319;48.1540776054;2
157;4133012;36099;36099;LINESTRING(11.5957656335 48.1410600456,11.5957656335 48.1410600456);11.5957656335;48.1410600456;43
158;10519002;7459;7459;LINESTRING(11.5663826362 48.1850229691,11.5663826362 48.1850229691);11.5663826362;48.1850229691;18
159;4005014;34651;34651;LINESTRING(11.5929435939 48.1755722092,11.5929435939 48.1755722092);11.5929435939;48.1755722092;4
160;4140011;9027;9027;LINESTRING(11.572489046 48.1073324641,11.572489046 48.1073324641);11.572489046;48.1073324641;3
